,marketSegment,project,street,x,y
0,CCR,TURQUOISE,COVE DRIVE,28379.017515570001,24997.931519180001
1,RCR,LANDED HOUSING DEVELOPMENT,BUKIT TERESA ROAD,27064.76704627,28720.928682929998
2,RCR,ARTRA,ALEXANDRA VIEW,,
3,RCR,CITY GATE,BEACH ROAD,31223.097831970002,31625.349929479999
4,OCR,FABER HILLS,FABER CRESCENT,19447.450579010001,33523.96875837
5,CCR,THE COAST AT SENTOSA COVE,OCEAN DRIVE,29152.4874,25323.6299
6,RCR,THE FOLIAGE,PASIR PANJANG ROAD,21392.732152079999,30367.6125789
7,CCR,MARINA BAY SUITES,CENTRAL BOULEVARD,30092.013121499999,29204.925556650002
8,RCR,SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,28459.5247,28717.8664
9,CCR,SENTOSA COVE,TREASURE ISLAND,29044.141761840001,25711.3677278
10,RCR,HARBOURLIGHTS,TELOK BLANGAH ROAD,26848.380237880001,27685.158273280001
11,CCR,V ON SHENTON,SHENTON WAY ,29758.8449,28832.8328
12,RCR,SPRINGWOOD,JALAN MAT JAMBOL,23277.7438525,29125.096876319998
13,RCR,MIN YUAN,WATERLOO STREET,30016.878957859999,31285.35310819
14,RCR,BURLINGTON SQUARE,BENCOOLEN STREET,30140.9356,31622.7553
15,RCR,MOUNT FABER LODGE,MOUNT FABER ROAD,27042.41250171,28028.54741967
16,RCR,THE ROCHESTER,ROCHESTER DRIVE,22994.1573,31962.953
17,CCR,ONE SHENTON,SHENTON WAY,29908.724815109998,29089.6404508
18,OCR,THE VISION,WEST COAST CRESCENT,20328.684630749999,31153.40131969
19,RCR,HERITAGE VIEW,DOVER RISE,22533.820411340002,31870.092034949999
20,CCR,LANDED HOUSING DEVELOPMENT,COVE DRIVE,27850.779510079999,24666.723543919999
21,OCR,CARABELLE,WEST COAST WAY,19430.38650986,33278.41355037
22,RCR,THE PEARL @ MOUNT FABER,MOUNT FABER ROAD,27040.264310900001,28113.694791680001
23,RCR,BUONA VISTA GARDENS,ZEHNDER ROAD,22863.221175389999,29543.392658309998
24,CCR,OCEAN 8,OCEAN DRIVE,29364.125222099999,26110.629284189999
25,RCR,PEARL BANK APARTMENT,PEARL BANK,28719.68217439,29485.916300739999
26,RCR,THE CREST,PRINCE CHARLES CRESCENT,26564.2485,30619.0867
27,RCR,FLYNN PARK,YEW SIANG ROAD,23488.939960660002,29048.037517599999
28,RCR,SUNSHINE PLAZA,PRINSEP LINK,29927.890135039998,31438.792224139999
29,OCR,LANDED HOUSING DEVELOPMENT,FABER GROVE,19421.060552049998,33868.511047500002
30,CCR,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,28369.770680749999,25946.124996529998
31,CCR,ALTEZ,ENGGOR STREET,29233.361626340001,28553.809441800002
32,RCR,ISLAND VIEW,JALAN MAT JAMBOL,23592.503236510001,29104.53281787
33,RCR,KENTVIEW PARK,PASIR PANJANG HILL,22731.665416639998,29415.372751479999
34,RCR,ALEX RESIDENCES,ALEXANDRA VIEW,26400.7628,30337.0815
35,RCR,THE GRANDHILL,PASIR PANJANG HILL,22624.570971249999,29384.345191720001
36,RCR,DOVER PARKVIEW,DOVER RISE,22542.66027158,32056.309675200001
37,CCR,MARINA BAY RESIDENCES,MARINA BOULEVARD,30414.934003879999,29129.9799135
38,RCR,FOOK HAI BUILDING,SOUTH BRIDGE ROAD,29467.101081789998,29706.72330085
39,CCR,ICON,GOPENG STREET,29239.871040129998,28636.150352620002
40,OCR,SUNGROVE,WEST COAST GROVE,19404.587765099999,32741.584131079999
41,OCR,LANDED HOUSING DEVELOPMENT,FABER TERRACE,19553.691256010001,33780.190824119996
42,RCR,WEST SHORE RESIDENCES,PASIR PANJANG ROAD,22578.92754369,29304.949971650001
43,RCR,ICON @ PASIR PANJANG,PASIR PANJANG ROAD,22714.909933609999,29085.96480399
44,RCR,LANDMARK TOWER,CHIN SWEE ROAD,28725.008095219999,29858.68423449
45,RCR,PASIR PANJANG LODGE,PASIR PANJANG ROAD,21215.210786140001,30422.54925228
46,RCR,JULUCA,PASIR PANJANG ROAD,21238.179910459999,30392.62690203
47,RCR,RESIDENTIAL APARTMENTS,PASIR PANJANG ROAD,23408.07512079,28796.002782460001
48,RCR,RIVER PLACE,HAVELOCK ROAD,28904.504721740002,30287.159542830001
49,RCR,QUEENSWAY TOWER,QUEENSWAY,24683.845567749999,30043.600686150001
50,RCR,LANDED HOUSING DEVELOPMENT,PASIR PANJANG ROAD,20744.818113579998,30495.810320819999
51,OCR,MONTEREY PARK CONDOMINIUM,WEST COAST RISE,19137.963147760001,33234.762299320002
52,RCR,QUEENS PEAK,DUNDEE ROAD,25080.6561,30754.7572
53,RCR,JUBILEE RESIDENCE,PASIR PANJANG ROAD,21574.637491370001,30230.294916719999
