step,Transaction Type ,Amount of Transaction (SGD),Transaction ID ,Beginning Balance ,Ending Balance ,Recipient ID,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,PAYMENT,9839.64,C1231006815,170136,160296.36,M1979787155,0,0,0,0
1,PAYMENT,1864.28,C1666544295,21249,19384.72,M2044282225,0,0,0,0
1,TRANSFER,181,C1305486145,181,0,C553264065,0,0,1,0
1,CASH_OUT,181,C840083671,181,0,C38997010,21182,0,1,0
1,PAYMENT,11668.14,C2048537720,41554,29885.86,M1230701703,0,0,0,0
1,PAYMENT,7817.71,C90045638,53860,46042.29,M573487274,0,0,0,0
1,PAYMENT,7107.77,C154988899,183195,176087.23,M408069119,0,0,0,0
1,PAYMENT,7861.64,C1912850431,176087.23,168225.59,M633326333,0,0,0,0
1,PAYMENT,4024.36,C1265012928,2671,0,M1176932104,0,0,0,0
1,DEBIT,5337.77,C712410124,41720,36382.23,C195600860,41898,40348.79,0,0
1,DEBIT,9644.94,C1900366749,4465,0,C997608398,10845,157982.12,0,0
1,PAYMENT,3099.97,C249177573,20771,17671.03,M2096539129,0,0,0,0
1,PAYMENT,2560.74,C1648232591,5070,2509.26,M972865270,0,0,0,0
1,PAYMENT,11633.76,C1716932897,10127,0,M801569151,0,0,0,0
1,PAYMENT,4098.78,C1026483832,503264,499165.22,M1635378213,0,0,0,0
1,CASH_OUT,229133.94,C905080434,15325,0,C476402209,5083,51513.44,0,0
1,PAYMENT,1563.82,C761750706,450,0,M1731217984,0,0,0,0
1,PAYMENT,1157.86,C1237762639,21156,19998.14,M1877062907,0,0,0,0
1,PAYMENT,671.64,C2033524545,15123,14451.36,M473053293,0,0,0,0
1,TRANSFER,215310.3,C1670993182,705,0,C1100439041,22425,0,0,0
1,PAYMENT,1373.43,C20804602,13854,12480.57,M1344519051,0,0,0,0
1,DEBIT,9302.79,C1566511282,11299,1996.21,C1973538135,29832,16896.7,0,0
1,DEBIT,1065.41,C1959239586,1817,751.59,C515132998,10330,0,0,0
1,PAYMENT,3876.41,C504336483,67852,63975.59,M1404932042,0,0,0,0
1,TRANSFER,311685.89,C1984094095,10835,0,C932583850,6267,2719172.89,0,0
1,PAYMENT,6061.13,C1043358826,443,0,M1558079303,0,0,0,0
1,PAYMENT,9478.39,C1671590089,116494,107015.61,M58488213,0,0,0,0
1,PAYMENT,10932.41,C1428494531,0,0,M443110940,0,0,0,0
1,PAYMENT,4518.42,C1504321715,8790,4271.58,M910123336,0,0,0,0
1,PAYMENT,1616.52,C1260487756,50396,48779.48,M455668354,0,0,0,0
1,PAYMENT,3545.37,C328197868,98028,94482.63,M1584918772,0,0,0,0
1,CASH_IN,159334.62,C431164562,1746897.72,1906232.33,C242131142,15735.13,0,0,0
1,CASH_OUT,334262.17,C1163088324,1906232.33,1571970.16,C985934102,1288904.4,971418.91,0,0
5,PAYMENT,518.1,C153115658,2774,2255.9,M201213864,0,0,0,0
5,PAYMENT,494.64,C790598933,2255.9,1761.25,M1552595422,0,0,0,0
5,PAYMENT,7873.13,C1463905865,20212,12338.87,M779857934,0,0,0,0
5,PAYMENT,4510.15,C2099199977,15966,11455.85,M1959931357,0,0,0,0
5,PAYMENT,4426.72,C675100200,11834,7407.28,M1530206433,0,0,0,0
5,PAYMENT,3003.85,C1607566361,24000,20996.15,M982054651,0,0,0,0
5,TRANSFER,179651.4,C2068126708,58395.9,0,C187019413,0,179651.4,0,0
5,PAYMENT,18067.41,C138733165,0,0,M1533434416,0,0,0,0
5,PAYMENT,5666.41,C648302729,11446,5779.59,M1978496274,0,0,0,0
5,PAYMENT,7496.64,C1521848908,5779.59,0,M871097584,0,0,0,0
5,PAYMENT,6902.52,C936368668,206572,199669.48,M689208338,0,0,0,0
5,PAYMENT,6351.38,C1598405774,7825,1473.62,M870649842,0,0,0,0
5,PAYMENT,187.48,C2058566824,6132,5944.52,M1884109568,0,0,0,0
5,PAYMENT,774.62,C35539019,157645,156870.38,M421481829,0,0,0,0
5,PAYMENT,16475.34,C2049602706,156870.38,140395.04,M1663485420,0,0,0,0
5,PAYMENT,10576.89,C327845331,140395.04,129818.15,M1889371810,0,0,0,0
5,PAYMENT,1553.21,C1505424071,129818.15,128264.94,M216421817,0,0,0,0
5,PAYMENT,3508.93,C1267068395,51108,47599.07,M1462880943,0,0,0,0
5,PAYMENT,415.98,C1502819908,5126,4710.02,M1743186770,0,0,0,0
5,PAYMENT,1281.34,C65583344,10988,9706.66,M1523941008,0,0,0,0
5,PAYMENT,462.23,C439636632,4074,3611.77,M1255708407,0,0,0,0
5,CASH_OUT,173210.02,C204572772,3611.77,0,C453211571,5001591.5,5174801.52,0,0
5,CASH_OUT,138480.68,C2103527052,1191,0,C1235151206,57606.45,196087.14,0,0
5,PAYMENT,774.48,C1165585194,20185,19410.52,M1268261468,0,0,0,0
5,PAYMENT,9479.49,C1273684451,19410.52,9931.02,M1011387188,0,0,0,0
